slope_deg,ndvi,rainfall_mm,dist_road_m,dist_stream_m,soil_clay_pct,risk_score,risk_class
9.244759,0.53247887,296.29056,108.16654,3270.0,35.804348,0.25527158,Medium
11.834031,0.58020765,296.26633,84.85281,3240.0,35.804348,0.252516,Medium
14.237419,0.514886,296.2421,60.0,3210.0,35.804348,0.28798512,Medium
13.10216,0.45783544,296.2179,30.0,3180.0,35.804348,0.30325732,Medium
12.224784,0.45043433,296.1937,0.0,3150.0,35.804348,0.39808494,Medium
12.79316,0.42769495,296.16946,30.0,3120.0,35.804348,0.31191555,Medium
17.478966,0.42568728,296.14526,0.0,3090.0,35.804348,0.43390447,Medium
18.470564,0.41076478,296.12103,0.0,3060.0,35.804348,0.44416127,Medium
15.79755,0.42818654,296.09683,0.0,3030.0,35.804348,0.4241527,Medium
14.867835,0.4711771,296.07263,30.0,3000.0,35.804348,0.30751166,Medium
15.871414,0.5236178,296.0484,42.426407,2970.0,35.804348,0.29368666,Medium
15.444742,0.49612358,296.0242,67.08204,2940.0,35.804348,0.30004346,Medium
13.847212,0.58016115,296.0,94.86833,2910.0,35.804348,0.26225653,Medium
11.446346,0.55289227,295.97577,123.69317,2880.0,35.804348,0.25883085,Medium
12.763671,0.5364031,295.9516,150.0,2850.0,35.804348,0.27118713,Medium
21.692274,0.59320563,295.92737,174.92856,2820.0,35.804348,0.29803008,Medium
29.981226,0.56251895,295.90317,201.24612,2790.0,35.804348,0.3517136,Medium
34.997005,0.48140636,295.87897,228.47319,2760.0,35.804348,0.40571958,Medium
36.159016,0.46372825,295.85477,256.3201,2730.0,35.804348,0.41776812,Medium
40.470222,0.44835088,295.83057,283.01944,2700.0,35.804348,0.44546208,Medium
52.65195,0.48832867,295.80637,308.8689,2670.0,35.804348,0.4951391,Medium
57.559013,0.48875237,295.78217,330.0,2640.0,35.804348,0.5205108,High
32.911533,0.5217302,295.758,300.0,2610.0,35.804348,0.38054034,Medium
28.813364,0.5327411,295.73376,270.0,2580.0,35.804348,0.35534406,Medium
6.018412,0.5182258,295.7096,240.0,2550.0,35.804348,0.24142396,Low
10.939293,0.49969757,295.68536,210.0,2520.0,35.804348,0.27348006,Medium
13.54121,0.4855283,295.6612,180.0,2490.0,35.804348,0.29195648,Medium
15.908791,0.48235255,295.637,150.0,2460.0,35.804348,0.3054523,Medium
19.30402,0.44876358,295.6128,120.0,2430.0,35.804348,0.33484665,Medium
25.83735,0.46152005,295.58862,90.0,2400.0,35.804348,0.3647443,Medium
27.560299,0.51244855,295.56442,60.0,2370.0,35.804348,0.3566591,Medium
27.558428,0.5273706,295.54022,30.0,2340.0,35.804348,0.35303518,Medium
25.420176,0.4907197,295.51602,0.0,2310.0,35.804348,0.45136806,Medium
15.873436,0.45684776,295.49185,30.0,2280.0,35.804348,0.31627086,Medium
12.284967,0.4504515,295.46765,60.0,2250.0,35.804348,0.29810837,Medium
10.12059,0.45712107,295.44348,90.0,2220.0,35.804348,0.2839185,Medium
6.1542053,0.47676885,295.4193,120.0,2190.0,35.804348,0.2561233,Medium
8.731722,0.46547472,295.39508,150.0,2160.0,35.804348,0.2732383,Medium
4.690209,0.47240588,295.3709,174.92856,2130.0,35.804348,0.2496135,Low
5.099484,0.43373695,295.34674,150.0,2100.0,35.804348,0.26511252,Medium
6.5725436,0.34597608,295.32254,120.0,2070.0,35.804348,0.303153,Medium
1.4976974,0.32376668,295.29837,90.0,2040.0,35.804348,0.28454933,Medium
9.603883,0.41082498,295.27417,60.0,2010.0,35.804348,0.29730874,Medium
7.835824,0.46269497,295.25,30.0,1980.0,35.804348,0.27173597,Medium
5.392326,0.40101188,295.22583,0.0,1950.0,35.804348,0.3771054,Medium
8.401211,0.42734787,295.20166,0.0,1920.0,35.804348,0.38366443,Medium
8.794613,0.38755718,295.1775,0.0,1890.0,35.804348,0.3993735,Medium
6.4750657,0.35739952,295.15332,0.0,1860.0,35.804348,0.39760998,Medium
